datasetName	type	basisOfRecord	modified	language	license	rightsHolder	institutionID	institutionCode	occurrenceID	recordNumber	collectionCode	recordedBy	individualCount	sex	lifestage	occurrenceStatus	disposition	verbatimEventDate	eventDate	year	month	day	habitat	samplingProtocol	fieldNumber	eventRemarks	continent	countryCode	country	stateProvince	county	locality	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	verbatimCoordinates	minimumElevationInMeters	maximumElevationInMeters	locationRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	dateIdentified	identificationRemarks	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_001		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021-08-22	2021	8	22	Semidesert	manual collecting	6		Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	Altyn-Emel National Park, Shygan cordon	44.11592	78.70265	WGS84	30	Salmenova M.Ye.	2021		886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021	needs to be checked	
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_002		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021-08-22	2021	8	22	Semidesert	manual collecting	16		Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	Altyn-Emel National Park, Shygan cordon	44.11592	78.70265	WGS84	30	Salmenova M.Ye.	2021		886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Arctosa	cinerea	(Fabricius, 1777)	Arctosa cinerea (Fabricius, 1777)	SPECIES	Kim L.V.	2021		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_003		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021-08-22	2021	8	22	Semidesert	manual collecting	18		Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	Altyn-Emel National Park, Shygan cordon	44.11592	78.70265	WGS84	30	Salmenova M.Ye.	2021		886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_004		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021-08-22	2021	8	22	Semidesert	manual collecting	20	With egg sac.	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	Altyn-Emel National Park, Shygan cordon	44.11592	78.70265	WGS84	30	Salmenova M.Ye.	2021		886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_005		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021-08-06	2021	8	6		manual collecting	24		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.211	76.912	WGS84	110	Salmenova M.Ye.	2021		894	914	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Sparassidae	Olios	sericeus	(Kroneberg, 1875)	Olios sericeus (Kroneberg, 1875)	SPECIES	Kim L.V.	2021		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_006		IZRK_Ara	Salmenova M.Ye.	1	female	adult	present	in collection		2021	2021			Semidesert	manual collecting	34		Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	Altyn-Emel National Park, Shygan cordon	44.11592	78.70265	WGS84	30	Kim L.V.	2021		886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Lycosa	singoriensis	(Laxmann, 1770)	Lycosa singoriensis (Laxmann, 1770)	SPECIES	Kim L.V.	2021		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_007		IZRK_Ara	Kim L.V.	1	male	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	42		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2448	76.9328	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	acalypha	(Walckenaer, 1802)	Mangora acalypha (Walckenaer, 1802)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_008		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	43	29.07.2020 - egg sac (50 eggs) on the vial wall. Diameter 4 mm. 10.08.2020 - fungus on cocoon.	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2445	76.9305	WGS84	75	Kim L.V.	2020		824	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	acalypha	(Walckenaer, 1802)	Mangora acalypha (Walckenaer, 1802)	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_009		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	45		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	Shevchenko str., 89b	43.2452	76.9324	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	ponticus	Thorell, 1875	Pholcus ponticus Thorell, 1875	SPECIES	Kim L.V.	2020		
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan). Part 2: IZRK collection data	PhysicalObject	PreservedSpecimen	2025-10-20	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	https://scientific-collections.gbif.org/institution/7e82dc97-c81e-4361-845f-4338170452b2	https://zool.kz/	IZRK_spiders_010		IZRK_Ara	Kim L.V.	1	female	adult	present	in collection		2020-07-27	2020	7	27		manual collecting	47		Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District		43.2451	76.9326	WGS84	75	Kim L.V.	2020		825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Tegenaria	domestica	(Clerck, 1757)	Tegenaria domestica (Clerck, 1757)	SPECIES	Kim L.V.	2020		
