datasetName	type	basisOfRecord	modified	language	license	bibliographicCitation	references	rightsHolder	institutionID	institutionCode	dynamicProperties	informationWithheld	occurrenceID	occurrenceStatus	individualCount	sex	lifeStage	recordedBy	occurrenceRemarks	associatedReferences	eventDate	verbatimEventDate	habitat	samplingProtocol	eventRemarks	continent	countryCode	country	verbatimLocality	verbatimCoordinates	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	minimumElevationInMeters	maximumElevationInMeters	kingdom	phylum	class	order	family	genus	scientificNameAuthorship	verbatimScientificName	species	scientificName	taxonRank	typeStatus	identifiedBy	dateIdentified	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0001	present	1	male	adult	Ozernoy A.V.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2022-05-24	2022-5-24	NA	NA	was kept in lab until 19 August 2022	Asia	KZ	Kazakhstan	Balkhash District	"44°54'43"" N; 76°28'58"" E"	44.911944	76.482778	WGS84	100	Logunov D.V.	2023	390	396	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Chalcoscirtus	(Thorell, 1875)	Chalcoscirtus nigritus	Chalcoscirtus nigritus	Chalcoscirtus nigritus (Thorell, 1875)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0002	present	1	female	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-29/30	2016-6-29/2016-6-30	clay desert with Haloxylon thicket	NA	NA	Asia	KZ	Kazakhstan	valley of Koibyn river	44°8' N; 79°31' E	44.133333	79.516667	WGS84	2000	Logunov D.V.	2023	760	786	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0003	present	1	male	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks (night collecting)	NA	NA	Asia	KZ	Kazakhstan	valley of Ili river (left bank), c. 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.966667	77.033333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0004	present	2	female	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks (night collecting)	NA	NA	Asia	KZ	Kazakhstan	valley of Ili river (left bank), c. 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.966667	77.033333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""mountain""}"	NA	lib_spiders_0005	present	1	male	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-26/28	2016-6-26/2016-6-28	stony mountain steppe	NA	NA	Asia	KZ	Kazakhstan	the watershed between Verkhnyaya Taldy and Nizhnyaya Taldy rivers (tributaries of Usek river)	44°25' N; 79°51' E	44.416667	79.85	WGS84	2000	Logunov D.V.	2023	1228	1300	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""mountain""}"	NA	lib_spiders_0006	present	2	female	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-06-26/28	2016-6-26/2016-6-28	stony mountain steppe	NA	NA	Asia	KZ	Kazakhstan	the watershed between Verkhnyaya Taldy and Nizhnyaya Taldy rivers (tributaries of Usek river)	44°25' N; 79°51' E	44.416667	79.85	WGS84	2000	Logunov D.V.	2023	1228	1300	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0007	present	1	male	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-20/22	2016-4-20/2016-4-22	stony mountain steppe with rocks	NA	NA	Asia	KZ	Kazakhstan	Almaty Area, c. 15 km NNW of Karabastau Vil., Tyrnakty stow	43°53' N; 75°30' E	43.883333	75.5	WGS84	2000	Logunov D.V.	2023	850	950	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0008	present	2	male	adult	Fomichev A.A., Dudko R.Yu.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-18	2016-4-18	stony mountain steppe with rocks (collected at night)	NA	NA	Asia	KZ	Kazakhstan	Almaty Area, valley of Ili River (left bank), c 7 km NW of Kapshagai Town	43°58' N; 77°2' E	43.966667	77.033333	WGS84	2000	Logunov D.V.	2023	550	608	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0009	present	2	male	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-17	2016-4-17	stony mountain steppe, with rocks	NA	NA	Asia	KZ	Kazakhstan	Almaty Area, Malaisary Mt Range	44°17' N; 76°52' E	44.283333	76.866667	WGS84	2000	Logunov D.V.	2023	550	600	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): Literature data	Text	MaterialCitation	2025-08-13	en|ru	CC-BY	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	https://sozontov.cc/arachnolibrary/files/p5342_logunov_2023.pdf	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	Institute of Zoology of the Republic of Kazakhstan	"{""occurrence"":""plain""}"	NA	lib_spiders_0010	present	4	female	adult	Fomichev A.A.	deposited in ZISP	Logunov D.V. 2023. On the jumping spiders (Araneae: Salticidae) from Iran collected by Antoine Senglet (1927–2015) // Arachnology. Vol. 19. No. 4. P. 732-768.	2016-04-17	2016-4-17	stony mountain steppe, with rocks	NA	NA	Asia	KZ	Kazakhstan	Almaty Area, Malaisary Mt Range	44°17' N; 76°52' E	44.283333	76.866667	WGS84	2000	Logunov D.V.	2023	550	600	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Philaeus	(Poda, 1761)	Philaeus chrysops	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	SPECIES	NA	Logunov D.V.	2023	NA
