datasetName	type	basisOfRecord	modified	language	license	rightsHolder	institutionID	institutionCode	occurrenceID	recordedBy	recordNumber	individualCount	sex	lifestage	occurrenceStatus	disposition	occurrenceRemarks	verbatimEventDate	eventDate	year	month	day	habitat	samplingProtocol	fieldNumber	eventRemarks	continent	countryCode	country	stateProvince	county	location	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferencedDate	verbatimCoordinates	minimumElevationInMeters	maximumElevationInMeters	locationRemarks	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	species	scientificName	taxonRank	identifiedBy	dateIdentified	identificationRemarks	taxonRemarks
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_001	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021-08-22	2021	8	22	Semidesert	manual collecting	6	NA	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	NA	44.115921	78.702649	WGS84	30	Salmenova M.Ye.	2021	NA	886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021	needs to be checked	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_002	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021-08-22	2021	8	22	Semidesert	manual collecting	16	NA	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	NA	44.115921	78.702649	WGS84	30	Salmenova M.Ye.	2021	NA	886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Arctosa	cinerea	(Fabricius, 1777)	Arctosa cinerea	Arctosa cinerea (Fabricius, 1777)	SPECIES	Kim L.V.	2021	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_003	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021-08-22	2021	8	22	Semidesert	manual collecting	18	NA	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	NA	44.115921	78.702649	WGS84	30	Salmenova M.Ye.	2021	NA	886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_004	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021-08-22	2021	8	22	Semidesert	manual collecting	20	With egg sac.	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	NA	44.115921	78.702649	WGS84	30	Salmenova M.Ye.	2021	NA	886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Evippa	sjostedti	Schenkel, 1936	Evippa sjostedti	Evippa sjostedti Schenkel, 1936	SPECIES	Kim L.V.	2021	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_005	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021-08-06	2021	8	6	NA	manual collecting	24	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.211	76.912	WGS84	110	Salmenova M.Ye.	2021	NA	894	914	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Sparassidae	Olios	sericeus	(Kroneberg, 1875)	Olios sericeus	Olios sericeus (Kroneberg, 1875)	SPECIES	Kim L.V.	2021	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_006	Salmenova M.Ye.	NA	1	female	adult	present	in collection	NA	NA	2021	2021	NA	NA	Semidesert	manual collecting	34	NA	Asia	KZ	Kazakhstan	Almaty Region	Kerbulakskiy District	NA	44.115921	78.702649	WGS84	30	Kim L.V.	2021	NA	886	888	KATO: 334035100	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Lycosa	singoriensis	(Laxmann, 1770)	Lycosa singoriensis	Lycosa singoriensis (Laxmann, 1770)	SPECIES	Kim L.V.	2021	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_007	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	42	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2448	76.9328	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	acalypha	(Walckenaer, 1802)	Mangora acalypha	Mangora acalypha (Walckenaer, 1802)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_008	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	43	29.07.2020 - egg sac (50 eggs) on the vial wall. Diameter 4 mm. 10.08.2020 - fungus on cocoon.	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2445	76.9305	WGS84	75	Kim L.V.	2020	NA	824	825	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Mangora	acalypha	(Walckenaer, 1802)	Mangora acalypha	Mangora acalypha (Walckenaer, 1802)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_009	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	45	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2452	76.9324	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Pholcus	ponticus	Thorell, 1875	Pholcus ponticus	Pholcus ponticus Thorell, 1875	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_010	Kim L.V.	NA	1	female	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	47	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2451	76.9326	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Tegenaria	domestica	(Clerck, 1757)	Tegenaria domestica	Tegenaria domestica (Clerck, 1757)	SPECIES	Kim L.V.	2020	NA	NA
Spider (Arachnida, Araneae) fauna of the lowland part of the Balkhash-Alakol basin (SE Kazakhstan): IZKN collection data	PhysicalObject	PreservedSpecimen	2025-05-30	en	CC-BY	Institute of Zoology of the National Academy of Sciences, Republic of Kazakhstan (IZRK)	NA	https://zool.kz/	IZRK_spiders_011	Kim L.V.	NA	1	male	adult	present	in collection	NA	NA	2020-07-27	2020	7	27	NA	manual collecting	48	NA	Asia	KZ	Kazakhstan	Almaty Region	Almaty (Alma-Ata) District	NA	43.2449	76.9327	WGS84	75	Kim L.V.	2020	NA	825	828	KATO: 750000000	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Attulus	fasciger	(Simon, 1880)	Attulus fasciger	Attulus fasciger (Simon, 1880)	SPECIES	Kim L.V.	2020	NA	NA
